time_s,on_cts_norm,off_cts_norm,cts_norm,off_lsr_pwr_V,on_lsr_pwr_V,off_ref_cts_norm,on_ref_cts_norm,task,cal_no_mfc,cell_flow,seed_laser_t
3784121897.542,0.8072212502504135,0.0,72.6499125225372,0.23385,0.8853442857142857,4.2764190678118155,5.959730231126799,0.0,0.0320312492549,11.4974356079,24.4021606445
3784121897.642,1.8200875051154668,2.182357819388067,-32.604328284534006,0.218825,0.8639571428571429,4.364715638776134,8.433409080859168,0.0,0.0320312492549,11.4974356079,24.4021606445
3784121897.742,1.8513690153311877,0.0,166.6232113798069,0.214995,0.8473842857142857,4.574146921599121,5.7252312466824264,0.0,-0.0355468764901,11.4974356079,24.4049987793
3784121897.842,1.3466307931866992,2.2237046920169004,-78.9366508947181,0.214125,0.8474714285714287,4.447409384033801,7.579756059756529,0.0,-0.0355468764901,11.4974356079,24.4049987793
3784121897.942,0.6742489250596553,2.337431630124819,-149.68644345586475,0.21688,0.8532157142857144,2.274277916761428,6.026007482498239,0.0,-0.0355468764901,11.5024401474,24.4049987793
3784121898.042,2.347690820703202,0.0,211.29217386328818,0.214275,0.8526914285714284,2.174007565546328,8.872792701304705,0.0,-0.0355468764901,11.5024401474,24.4049987793
3784121898.142,2.6794274376031573,2.269117313365101,36.92791118142506,0.21450999999999998,0.8517442857142857,9.203479797477772,10.047125670538719,0.0,-0.0355468764901,11.495769043,24.3938903809
3784121898.242,3.853485854116728,2.5077740997090983,121.11405789668667,0.21551,0.8533785714285714,2.1585218442410636,7.181074344924246,0.0,-0.0355468764901,11.495769043,24.3938903809
3784121898.342,3.8739493290256455,2.221333688746723,148.735407625103,0.21878,0.8535385714285715,9.017274469544166,7.690197399548375,0.0,-0.0408203117549,11.4941000557,24.3938903809
3784121898.442,3.5023464857804787,2.485830764641543,91.48641490250421,0.21461000000000002,0.8536942857142857,4.67804402314733,10.394693902787079,0.0,-0.0408203117549,11.4941000557,24.3938903809
3784121898.542,3.5325510818431325,4.788584015706556,-113.04296404770813,0.21483999999999998,0.8484400000000001,0.0,8.277124814839897,0.0,-0.0408203117549,11.5074422646,24.3938903809
3784121898.642,4.581771019698984,0.0,412.3593917729085,0.20480500000000001,0.8414157142857143,0.0,8.66820403457036,0.0,-0.0408203117549,11.5074422646,24.3938903809
3784121898.742,4.104875566338403,2.54427030327702,140.45447367552444,0.199855,0.8344542857142858,7.382253063635021,7.1956675387778555,0.0,-0.0408203117549,11.4991045952,24.4047241211
3784121898.842,3.108484889091758,2.6639671799243434,40.00659382506729,0.196195,0.8258942857142858,10.213132210361632,9.678636894034936,0.0,-0.0408203117549,11.4991045952,24.4047241211
3784121898.942,3.1147993601830946,0.0,280.3319424164785,0.194295,0.82288,5.260112566408921,7.823811034363964,0.0,0.0537109375,11.5074422646,24.4047241211
3784121899.042,1.734931549519241,2.659433008882506,-83.20513134269387,0.196115,0.8218,2.659433008882506,9.04505705318516,0.0,0.0537109375,11.5074422646,24.4047241211
3784121899.142,2.7790064563731485,0.0,250.11058107358338,0.197865,0.8208399999999999,5.05501816211961,9.407343188396732,0.0,0.0537109375,11.5041067123,24.3972167969
3784121899.242,3.1127224070440347,2.5869205298013243,47.322168951843935,0.19891999999999999,0.8244085714285714,7.760761589403973,8.133911488953634,0.0,0.0537109375,11.5041067123,24.3972167969
3784121899.342,2.2194089040329423,0.0,199.74680136296482,0.20151,0.8282528571428572,2.524105204704932,10.680363262855375,0.0,0.0537109375,11.5107778168,24.3972167969
3784121899.442,2.212345717406869,2.5563679124699625,-30.961997555678415,0.201385,0.8366085714285715,2.5563679124699625,6.974360195337388,0.0,0.0537109375,11.5107778168,24.3972167969
3784121899.542,2.8968268457372437,0.0,260.7144161163519,0.20682,0.8405285714285714,0.0,8.862392509306313,0.0,-0.037109375,11.4974356079,24.3972167969
3784121899.642,2.887459308365255,0.0,259.87133775287293,0.20338,0.8446585714285714,7.320063989268084,8.812351356680502,0.0,-0.037109375,11.4974356079,24.3972167969
3784121899.742,3.4089395353376046,0.0,306.80455818038445,0.20163999999999999,0.8369800000000002,2.410567929804262,9.390268305816102,0.0,-0.037109375,11.4941000557,24.4026489258
