time_ms,SO2_pptv,on_cts_norm,off_cts_norm,off_lsr_pwr_V,off_lsr_pwr_V
3733314161124.0,281.8583300681006,43.736682740832116,34.746016272717625,89170.0,103609.0
3733314161224.0,257.7858213510034,24.90237138491143,33.435870001337435,88345.0,104678.0
3733314161324.0,227.1819736983242,25.17680986930947,38.88251647646636,87382.0,102874.0
3733314161424.0,334.6660908864756,30.02032144836505,32.73889766205754,86608.0,103852.0
3733314161524.0,306.60827657541034,26.231697429293654,24.2800951779731,83868.0,102965.0
3733314161624.0,306.23938885760776,26.070984179652783,26.091746310916978,84385.0,103481.0
3733314161724.0,396.558452142538,40.48770330611017,32.97321411253564,86446.0,103114.0
3733314161824.0,618.0551872212964,26.869786677258816,31.693894603394128,85598.0,104121.0
3733314161924.0,811.8884149278044,22.274587040879727,35.753657301194764,85299.0,100689.0
3733314162024.0,930.2982156461084,19.64681952662722,33.38013096792562,86528.0,101857.0
3733314162124.0,1036.5038252781271,33.07180001824651,35.68808612724786,87688.0,100874.0
3733314162224.0,1137.7478802667506,35.04140726291568,20.719867392848688,85613.0,101352.0
3733314162324.0,1342.431935054131,24.938786614673074,29.530174917069424,88216.0,101591.0
3733314162424.0,1232.731051329467,30.198146298404144,27.874841959601387,86098.0,100449.0
3733314162524.0,1363.1111420446125,19.99466808850973,28.92768079800499,90024.0,100250.0
3733314162624.0,1363.371987691131,27.91487080997789,27.982371106203093,89558.0,100063.0
3733314162724.0,1341.7051555985242,33.83171450398341,39.177080403423474,91630.0,99548.0
3733314162824.0,1324.8047062310575,15.518139596750057,25.07849569151444,90217.0,99687.0
3733314162924.0,1097.4115478056112,27.203173703598754,15.06825921424051,88225.0,99547.0
3733314163024.0,1114.296228319118,22.48934567248766,27.15560159715168,88931.0,99427.0
3733314163124.0,1068.9581428262898,29.239108432109038,35.888744890838396,88922.0,100310.0
3733314163224.0,975.4554147798043,19.39399470658027,34.734282737061484,87656.0,100765.0
3733314163324.0,957.776653642019,22.49794706233056,30.603984441329203,88897.0,101294.0
3733314163424.0,1011.4274271016466,23.9912260658959,35.542567160642534,87532.0,101287.0
3733314163524.0,1014.7441499132354,24.816414930457636,28.892807683494233,88651.0,100371.0
3733314163624.0,993.5772650754486,26.29593213362907,36.5367144606391,87466.0,101268.0
3733314163724.0,1129.98836133042,17.350869278550856,21.627147969014196,86451.0,101724.0
3733314163824.0,1212.0045917909272,29.21277416188551,33.964754289263254,85579.0,103048.0
3733314163924.0,1405.4363805417286,31.951433820592698,27.356573393778334,87633.0,102352.0
3733314164024.0,1346.4429985430897,21.643049163894837,33.36342583506693,87788.0,101908.0
3733314164124.0,1306.2688306595833,27.418230838655134,30.700972527581357,87533.0,100974.0
3733314164224.0,1312.886071945796,22.926314824155163,24.583796328164183,87236.0,101693.0
